record,uuid,start_date,date,status,hCountry,dTrack,LOIM,xpanelPartner,QualityScore_TOTAL,QC_FLAGSr1,S0,S1,S2r1,S2r2,S2r3,S2r4,S2r5,S2r6,S2r7,S2r8,S2r99,S3,S4r1,S4r2,S4r3,S4r4,S4r99,S5r1,S5r2,S5r3,S5r4,S5r99,S5r98,S6,S6r97oe,S7r1,S7r2,S7r3,S7r4,S7r5,S7r6,S7r7,S7r8,S7r9,S7r10,S7r97,S7r98,S7r97oe,S8,S9r1,S9r2,S9r3,S9r4,S9r5,S9r6,S9r7,S9r8,S9r9,S9r10,S9r99,hS9CountSwitchers,TimeSection_Screener,Q1,Q2,Q3r1,Q3r2,Q3r3,Q3r4,Q3r5,Q3r6,Q3r7,Flag_Q3_SL,Q4,Q5r1,Q6r1,Q6r2,Q6r3,Q6r4,Q6r5,Q6r6,Q6r7,Flag_Q6,Flag_Q6_SL,Q7r1,Q7r2,Q7r3,Q7r4,Q7r5,Flag_Q7_SL,Q8,Q9,hACUVUE,hBAUSCH,TimeSection_Section_A
31,mz0qe0smtv9ut5f3,8/22/2025 13:05,8/22/2025 13:07,3,2,0,2.37,1,40.000000000000000,2,1,1,0,0,0,0,0,0,0,0,1,39,1,1,0,1,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,,5,1,,1,0,0,0,0,0,0,0,0,0,0.82,15,1,1,1,1,1,1,1,1,1,1,I have worn them for years and have never had issues seeing out of them or issues with dry eyes. They do tend to rip easily though.,2,1,1,1,5,2,4,0,0,1,1,1,1,1,1,2,1,1,0,1.54
403,008pv99vz88e52ju,8/25/2025 9:46,8/25/2025 9:50,3,2,0,3.42,1,40.000000000000000,2,1,1,0,0,0,0,0,0,0,0,1,60,1,1,1,1,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,,5,0,,0,0,0,1,0,0,0,0,0,0,1.47,8,2,2,2,2,2,2,2,2,1,1,They are very comfortable and I can see well with them. I also like that they don't dry out.,2,1,1,1,5,2,3,0,0,1,1,1,1,1,1,2,1,1,0,1.94
656,aydstsssy25vvwv3,8/25/2025 9:54,8/25/2025 10:01,3,2,0,7.15,1,40.000000000000000,3,1,1,0,0,0,0,0,0,0,0,1,31,1,1,1,1,0,1,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,4,1,1,0,0,0,0,0,1,0,,0,0,2.69,10,1,1,1,1,1,1,1,1,1,1,"They keep my eyes comfortable and hydrated throughout the day, even when I am on screens a lot.",1,1,1,1,5,1,1,0,1,1,1,1,1,1,1,1,1,0,1,4.44
775,8syzpp9e302j6ev7,8/25/2025 10:15,8/25/2025 10:17,3,2,0,2.13,1,28.072140544700000,2,1,1,0,0,0,0,0,0,0,0,1,49,0,1,0,1,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,,5,0,,1,0,0,0,0,0,0,0,0,0,0.61,6,2,1,1,1,1,1,2,2,0,1,I have good luck and my eyes dont seem dry after I wear them.,1,1,1,1,5,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1.51
1017,3y783nszfe4x0bgk,8/25/2025 11:26,8/25/2025 11:28,3,2,0,1.93,1,52.904234670700000,1,1,2,0,0,0,0,0,0,0,0,1,41,1,1,1,1,0,1,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,4,0,1,1,0,0,0,0,1,1,,0,0,0.76,8,2,2,1,2,2,1,1,1,0,2,I like the way they don't make me feel uncomfortable even for long periods of time,1,2,1,2,5,3,1,0,0,1,1,1,1,1,1,2,1,0,1,1.15
1265,bvz9zqw0nrn3yrxz,8/25/2025 11:30,8/25/2025 11:34,3,2,0,2.72,1,59.242868871900000,0,1,2,0,0,0,0,0,0,0,0,1,47,1,1,0,1,0,1,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,4,1,1,0,0,0,0,0,0,0,,0,0,1.09,12,2,1,1,3,2,3,2,3,0,1,They work well and I don't have any problems. My eyes feel fine,2,1,2,1,5,1,1,0,0,2,2,2,1,1,0,3,2,0,1,1.61
1662,dnr81s407y9n1dm1,8/25/2025 13:45,8/25/2025 13:48,3,2,0,3.27,1,72.559599551300000,1,1,1,0,0,0,0,0,0,0,0,1,75,1,1,1,1,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,,5,0,,0,0,1,0,0,0,0,0,0,0,1.16,8,2,3,2,2,3,3,2,2,0,3,HAVE TO WEAR READING GLASSES WITH THEM  WHEN RADING,1,1,2,1,5,1,4,0,0,1,1,1,1,1,1,2,2,1,0,2.09
1844,gqavf9bv6psb1xb7,8/25/2025 15:04,8/25/2025 15:10,3,2,0,5.72,1,67.700841149100000,1,1,2,0,0,0,0,0,0,0,0,1,26,0,1,0,1,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,,4,0,,0,0,0,0,0,0,0,0,1,0,0.89,16,2,1,2,2,2,1,3,2,0,2,They do not cause me discomfort which is very important. I can also wear them all day and not have issues after a few hours.,1,1,2,2,5,3,1,0,0,1,1,1,1,1,1,2,2,1,0,4.81
1884,r809g41swxuk0rwz,8/25/2025 15:08,8/25/2025 15:15,3,2,0,7.02,1,64.711295052800000,0,1,2,0,0,0,0,0,0,0,0,1,33,1,0,0,1,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,,5,0,,1,0,0,0,0,0,0,1,0,1,3.86,12,3,2,2,3,2,2,1,2,0,2,I have been using these contact lenses for a while and I have never had any issues them. For the hours I do wear them they help a lot and are co,2,2,2,2,5,3,3,0,0,2,1,1,1,1,0,3,1,1,0,3.15
2142,j4q6haw09hf2ems5,8/25/2025 16:46,8/25/2025 16:50,3,2,0,3.93,1,40.000000000000000,2,1,1,0,0,0,0,0,0,0,0,1,66,0,1,0,1,0,1,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,4,0,0,1,0,0,0,0,0,0,,0,0,1.83,12,1,1,1,1,1,1,1,1,1,1,easy to wear and comfortable throughout my using them,1,1,1,1,5,1,2,0,0,1,1,1,1,1,1,1,1,0,1,2.09
2171,qeymg5pgybfb1fd7,8/25/2025 17:31,8/25/2025 17:34,3,2,0,2.35,1,65.581629297900000,0,1,2,0,0,0,0,0,0,0,0,1,42,0,1,0,1,0,0,1,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,,3,0,,0,0,0,0,0,0,1,0,0,0,0.68,18,2,1,3,2,2,2,2,2,0,2,These contact lenses keep my eyes from drying out and stay in place even during rigorous activity,2,2,2,2,5,4,4,0,0,1,1,2,1,1,0,2,2,1,0,1.66
2526,7dfjymx906ky76ru,8/26/2025 9:55,8/26/2025 10:04,3,2,0,8.38,1,67.167456227500000,3,1,1,0,0,0,0,0,0,0,0,1,76,1,0,1,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,4,0,0,0,0,0,0,0,0,0,,1,0,5.61,4,2,2,2,2,2,2,2,2,1,2,They work for me since I don't need them ev,2,2,2,2,5,2,2,0,1,1,1,1,1,1,1,2,2,0,1,2.77
2603,93p5pfqpe72a54yn,8/26/2025 14:03,8/26/2025 14:06,3,2,0,3.32,1,69.636076696600000,0,1,1,0,0,0,0,0,0,0,0,1,25,0,1,0,1,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,,3,0,,0,0,0,0,0,0,0,0,1,0,1.35,12,4,3,3,3,4,4,4,3,0,3,It's not comfortable. And it starts feeling dry really quick,2,2,3,3,5,2,3,0,0,2,2,2,1,1,0,3,3,1,0,1.94
2607,6ussg18sdje0jqw8,8/26/2025 14:08,8/26/2025 14:11,3,2,0,3.03,1,67.548569231000000,0,1,1,0,0,0,0,0,0,0,0,1,36,1,1,0,1,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,,5,1,,1,0,0,1,0,0,0,0,0,0,0.91,18,2,2,3,4,4,4,4,3,0,2,"They provide me with clear vision, and if my eyes weren't already dry, they probably wouldn't contribute to my eye dryness.",2,1,2,2,5,3,2,0,0,1,1,2,1,1,0,4,2,1,0,2.11
3033,r4z1prz58wtwtg2a,8/26/2025 23:59,8/27/2025 0:05,3,2,0,6.00,1,52.636570826700000,2,1,2,0,0,0,0,0,0,0,0,1,57,1,1,0,1,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,,5,0,,1,0,0,0,0,0,0,0,0,0,4.39,16,1,1,1,1,1,1,1,1,1,1,They are the best I have ever worn and I have been wearing contacts for many years.,1,2,1,2,5,3,1,0,0,1,1,1,1,1,1,1,1,1,0,1.61
3578,fxn8y1jmc4gry60u,8/27/2025 17:38,8/27/2025 17:43,3,2,0,5.25,2,95.656846088600000,0,1,2,0,0,0,0,0,0,0,0,1,40,0,0,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,3,0,1,1,0,1,1,1,0,1,,0,0,1.72,15,2,1,1,1,1,1,1,2,0,2,it makes my eyes healthy and it is thinner that makes me comfortable,1,1,1,2,5,1,1,0,0,1,2,1,1,1,0,2,1,0,1,3.52
3607,0k8az7p0uap0qed2,8/27/2025 18:11,8/27/2025 18:23,3,2,0,11.37,2,59.952968107000000,0,1,2,0,0,0,0,0,0,0,0,1,32,0,0,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,5,0,0,0,0,0,1,0,0,0,,0,0,4.87,8,2,2,1,3,1,1,2,1,0,1,I can exercise and be active without worrying about discomfort.,2,1,1,2,5,2,1,0,0,1,1,2,2,1,0,1,1,0,1,6.47
3609,fuqy06tcztwmhbu2,8/27/2025 18:11,8/27/2025 18:23,3,2,0,11.08,2,75.021413950800000,0,1,1,0,0,0,0,0,0,0,0,1,35,0,0,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,5,0,0,0,0,0,1,0,0,0,,0,0,4.70,9,1,2,2,2,1,2,1,1,0,2,My eyes don’t get red or irritated like they used to with other lenses.,1,1,1,1,5,1,2,0,0,2,1,2,1,1,0,2,1,0,1,6.36
3611,620fb6qrwdr4b2js,8/27/2025 18:16,8/27/2025 18:33,3,2,0,15.42,2,74.986791578300000,0,1,2,0,0,0,0,0,0,0,0,1,34,0,1,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,4,0,0,0,0,0,1,0,1,0,,0,0,6.29,11,2,1,1,1,1,1,2,2,0,1,The price worth it for the premium comfort and performance i get,1,3,1,2,5,1,1,0,0,1,1,1,2,1,0,2,2,0,1,9.09
3613,rg5snsn30y6s2yv8,8/27/2025 18:19,8/27/2025 18:33,3,2,0,12.15,2,68.951920477700000,0,1,1,0,0,0,0,0,0,0,0,1,36,0,0,1,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,4,0,0,0,0,0,0,1,0,1,,0,0,4.50,9,2,3,3,2,1,2,1,1,0,2,They dont slide around dislodge even when i am active,1,1,2,2,5,1,2,0,0,2,1,2,1,1,0,1,2,0,1,7.57
3615,90wyhcfzrx9y39na,8/27/2025 18:21,8/27/2025 18:33,3,2,0,11.02,2,72.555689514300000,1,1,1,0,0,0,0,0,0,0,0,1,31,0,1,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,4,0,0,1,0,1,0,0,0,1,,0,0,3.64,11,1,2,2,1,1,4,1,1,0,1,I never have to worry about lens related headaches or eye strain anymore,1,3,2,2,5,1,1,0,0,1,1,1,1,1,1,1,1,0,1,7.31
3616,hj4kkd4mks0zn3h7,8/27/2025 18:24,8/27/2025 18:29,3,2,0,4.82,1,82.586238325800000,1,1,1,0,0,0,0,0,0,0,0,1,57,0,1,0,1,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,,4,0,,0,0,0,0,0,0,0,0,1,0,1.81,12,1,1,1,1,1,1,2,1,0,1,They are comfortable enough that you forget you have them in.  They also don't dry out after sometime and have to use an eye drop to moisten them,1,1,1,1,5,3,3,0,0,1,1,1,1,1,1,2,1,1,0,3.00
3620,zqfh1xkrsewuypbj,8/27/2025 18:27,8/27/2025 18:37,3,2,0,8.92,2,51.147297046600000,0,1,2,0,0,0,0,0,0,0,0,1,35,0,0,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,5,0,0,0,0,0,1,0,0,0,,0,0,1.54,10,1,2,1,2,2,3,1,2,0,2,I can wear makeup without worrying about my lenses drying.,1,1,1,2,5,1,2,0,0,1,2,2,2,1,0,2,2,0,1,7.35
3623,9n0uabxq33hj9dmk,8/27/2025 18:27,8/27/2025 18:37,3,2,0,8.95,2,49.357188569100000,0,1,1,0,0,0,0,0,0,0,0,1,34,0,0,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,5,0,0,0,0,0,1,0,0,0,,0,0,1.49,7,1,2,2,2,1,1,2,1,0,1,They give me sharp crisp vision that feels close to natural sight.,2,2,1,1,5,2,1,0,0,1,1,2,1,1,0,1,2,0,1,7.42
3639,n3mgwuh0h832kad3,8/27/2025 18:38,8/27/2025 18:47,3,2,0,8.83,2,38.115551408500000,0,1,2,0,0,0,0,0,0,0,0,1,27,0,1,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,4,0,0,1,0,0,0,0,1,0,,0,0,1.91,11,1,3,1,1,2,2,1,3,0,1,They are perfect for my dry office environment with air conditioning,1,2,2,3,5,1,1,0,0,2,1,2,1,1,0,1,1,0,1,6.86
3641,qj0x5zgreb4j8cve,8/27/2025 18:38,8/27/2025 18:47,3,2,0,8.58,2,25.643328779500000,0,1,2,0,0,0,0,0,0,0,0,1,25,0,1,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,4,0,0,0,0,0,0,1,1,0,,0,0,1.91,8,2,1,1,3,1,2,1,2,0,1,They provide excellet UV protection which gives me peace of mind,1,2,1,2,5,1,2,0,0,2,1,2,1,1,0,1,1,0,1,6.60
3642,hf8bwek52c3abebg,8/27/2025 18:38,8/27/2025 18:47,3,2,0,8.75,2,38.557528378300000,0,1,2,0,0,0,0,0,0,0,0,1,28,0,1,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,4,0,0,0,0,0,0,1,0,1,,0,0,1.82,8,2,1,3,1,1,1,2,1,0,2,My eye doctor recommended them specifically for my dry eye issue,1,1,2,3,5,1,2,0,0,2,1,2,1,1,0,2,2,0,1,6.87
3644,28duhy87szqv8wwx,8/27/2025 18:41,8/27/2025 18:49,3,2,0,7.18,2,33.207425774900000,0,1,2,0,0,0,0,0,0,0,0,1,32,0,0,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,5,0,0,0,0,0,1,0,0,0,,0,0,1.49,10,2,1,1,1,2,2,3,1,0,2,I appreciate the overall comfort and clarity they provide.,2,2,2,1,5,1,1,0,0,2,1,1,2,1,0,1,1,0,1,5.68
3646,y59xbt100a1du9k3,8/27/2025 18:41,8/27/2025 18:49,3,2,0,7.18,2,29.245756420900000,0,1,1,0,0,0,0,0,0,0,0,1,35,0,0,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,5,0,0,0,0,0,1,0,0,0,,0,0,1.46,8,1,2,2,1,1,2,1,1,0,1,They allow me to focus on my day not my eyes.,1,1,1,2,5,2,2,0,0,2,1,1,1,1,0,2,2,0,1,5.70
3647,z0y20sp25cqy9mjb,8/27/2025 18:41,8/27/2025 18:49,3,2,0,7.07,2,34.778205276500000,0,1,2,0,0,0,0,0,0,0,0,1,35,0,0,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,5,0,0,0,0,0,1,0,0,0,,0,0,1.39,9,2,2,2,1,2,3,2,1,0,1,They feel hygienic being single use lenses.,2,2,1,1,5,1,2,0,0,1,1,2,1,1,0,2,2,0,1,5.66
3648,bg3a37875sqrbqxd,8/27/2025 18:41,8/27/2025 18:49,3,2,0,6.97,2,37.668325927400000,0,1,1,0,0,0,0,0,0,0,0,1,31,0,0,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,5,0,0,0,0,0,1,0,0,0,,0,0,1.43,7,1,1,1,1,1,1,2,1,0,2,I feel comfortable recommending them to others.,1,1,1,2,5,2,1,0,0,1,1,2,1,1,0,1,1,0,1,5.51
3653,uckad9bxzsqhruw0,8/27/2025 18:53,8/27/2025 19:03,3,2,0,9.02,2,39.117282803600000,0,1,1,0,0,0,0,0,0,0,0,1,32,0,0,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,5,0,0,0,0,0,1,0,0,0,,0,0,1.19,10,1,1,1,2,3,2,2,2,0,1,I feel safe knowing they are designed for eye health and oxygen now.,1,1,2,1,5,2,1,0,0,1,2,1,1,1,0,2,1,0,1,7.79
3655,vqz5v65dsuqx6njw,8/27/2025 18:53,8/27/2025 19:03,3,2,0,9.58,2,34.642563211600000,1,1,2,0,0,0,0,0,0,0,0,1,35,0,0,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,4,0,0,0,0,0,1,0,0,0,,0,0,1.61,12,2,2,1,1,2,1,1,4,0,2,I appreciate that my eyes dont feel as tired at the end of the day.,1,1,1,1,5,2,2,0,0,1,1,1,1,1,1,1,1,0,1,7.95
3656,5m7sdvhaazz5a5ep,8/27/2025 18:53,8/27/2025 19:03,3,2,0,9.63,2,23.957917566100000,1,1,1,0,0,0,0,0,0,0,0,1,37,0,0,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,5,0,0,0,0,0,1,0,0,0,,0,0,1.67,11,1,1,2,3,2,2,2,3,0,2,They great for travel since i don't need cleaning solution,1,1,2,2,5,2,1,0,0,1,1,1,1,1,1,1,1,0,1,7.94
3657,hc7ym8dk4ynhph28,8/27/2025 18:55,8/27/2025 19:08,3,2,0,13.08,1,71.114531752000000,1,1,1,0,0,0,0,0,0,0,0,1,35,0,1,0,1,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,,4,1,,0,0,0,0,0,0,0,0,0,0,3.85,12,2,1,2,2,2,2,1,1,0,2,"they are very moisturizing and do not cause dry eye, feel breathable, help clear and sharpen my vision. I like i disposable so i can ensure no bacteria!",1,1,1,1,5,1,3,0,0,1,1,1,1,1,1,2,1,1,0,9.19
3659,zug7u5gmr78dh6ts,8/27/2025 19:01,8/27/2025 19:09,3,2,0,7.18,2,47.080995214200000,0,1,1,0,0,0,0,0,0,0,0,1,31,0,1,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,4,1,0,0,0,0,0,0,1,0,,0,0,1.79,10,2,2,2,1,1,1,3,2,0,1,My eyes feel healthier and less tired since i made the switch to infuse,2,3,1,2,5,1,2,0,0,2,1,2,1,1,0,1,1,0,1,5.35
3660,2zeehc0m8rbx924h,8/27/2025 19:01,8/27/2025 19:09,3,2,0,6.80,2,44.490387942300000,0,1,1,0,0,0,0,0,0,0,0,1,30,0,1,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,4,0,0,0,1,1,0,0,0,0,,0,0,1.65,11,1,1,2,1,1,3,1,2,0,2,They dont require a long adaptation period comfort was instant from day one,2,3,2,1,5,2,1,0,0,2,1,2,1,1,0,3,1,0,1,5.09
3661,hedq8kwyv8zy3awy,8/27/2025 19:01,8/27/2025 19:09,3,2,0,7.22,2,42.660036680400000,0,1,1,0,0,0,0,0,0,0,0,1,32,0,1,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,4,0,0,1,0,0,0,0,0,1,,0,0,1.83,9,1,2,2,1,3,1,2,1,0,1,They simply deliver on their promise of all day exceptional comfort without fail,2,1,1,2,5,2,1,0,0,1,1,2,1,1,0,2,2,0,1,5.34
3663,4txrgy8xrzszmfwk,8/27/2025 19:10,8/27/2025 19:26,3,2,0,14.88,2,34.703700652800000,0,1,2,0,0,0,0,0,0,0,0,1,35,0,0,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,5,0,0,0,0,0,1,0,0,0,,0,0,3.82,10,1,2,1,1,2,2,3,1,0,1,I can wear them at work all day without too much irritation.,2,1,2,2,5,1,1,0,0,1,1,1,2,1,0,2,1,0,1,11.04
3665,xyddb1wckynzf4gg,8/27/2025 19:11,8/27/2025 19:26,3,2,0,14.77,2,36.992921271900000,0,1,2,0,0,0,0,0,0,0,0,1,37,0,0,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,5,0,0,0,0,0,1,0,0,0,,0,0,3.75,8,1,2,1,3,1,2,1,2,0,1,I like that they daily lenses super convenient and hygienic.,1,2,1,1,5,1,2,0,0,1,1,2,1,2,0,2,2,0,1,10.98
3667,syy1n89edw9w811n,8/27/2025 19:11,8/27/2025 19:26,3,2,0,14.73,2,50.172944472500000,0,1,1,0,0,0,0,0,0,0,0,1,35,0,0,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,5,0,0,0,0,0,1,0,0,0,,0,0,3.68,8,2,1,1,3,2,1,1,2,0,2,They feel lighter and thinner compared to other contacts i used.,1,2,1,2,5,2,1,0,0,1,2,2,1,1,0,1,2,0,1,11.03
3668,t36dtyymd1n672e7,8/27/2025 19:11,8/27/2025 19:26,3,2,0,14.40,2,37.022315906100000,0,1,2,0,0,0,0,0,0,0,0,1,31,0,0,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,5,0,0,0,0,0,1,0,0,0,,0,0,3.51,8,1,2,1,1,1,1,1,3,0,1,They're easy to handel when putting in and talking out.,2,2,2,1,5,1,1,0,0,1,2,1,1,1,0,1,1,0,1,10.86
3669,3fy3cke5g1qvfnxg,8/27/2025 19:14,8/27/2025 19:22,3,2,0,7.43,2,48.361855178200000,0,1,2,0,0,0,0,0,0,0,0,1,36,0,1,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,4,1,0,0,0,0,0,0,0,1,,0,0,1.60,9,1,1,3,1,2,1,1,2,0,1,They provide a barrier against dust and pollen that irritates my eyes,3,1,1,2,5,1,2,0,0,2,1,2,1,1,0,1,2,0,1,5.79
3670,pwj4r55gmb6cj4bq,8/27/2025 19:14,8/27/2025 19:22,3,2,0,7.37,2,54.652886149400000,0,1,2,0,0,0,0,0,0,0,0,1,37,0,1,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,4,1,0,1,0,0,0,0,1,0,,0,0,1.52,11,2,1,2,1,2,1,2,3,0,2,I can wear them safely for a quick nap without waking up dry,1,2,1,2,5,3,3,0,0,2,1,1,1,1,0,2,2,0,1,5.79
